"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",1.179490739536,0.884779541436851,1.96424051269994,0.450443586575191,0.652390622666366,NA
"hsa-let-7a-5p",53333.4038336371,-0.199320229763586,0.267711232191186,-0.744534430371756,0.45655321953385,0.82735786484053
"hsa-let-7b-3p",9.88717521734018,-0.215107819618412,0.990971244694218,-0.217067670500154,0.828155608474626,0.930287418448109
"hsa-let-7b-5p",124169.363405709,-0.38483869954641,0.263043022872837,-1.46302568813031,0.143460350019469,0.539172943416411
"hsa-let-7c-5p",154805.335681762,-0.38890966099974,0.261261264008996,-1.48858523851568,0.136596621106339,0.535879052032562
"hsa-let-7d-3p",400.3133320749,-0.325084845583504,0.216355050098657,-1.50255261171517,0.132954451246875,0.527385989945939
"hsa-let-7d-5p",2619.83929828479,-0.0505587118424153,0.270338162449814,-0.187020254130051,0.851644752619354,0.932629376334691
"hsa-let-7e-3p",1.65728843717708,-4.19162010505499,2.98745105721536,-1.40307574074939,0.16059425436561,NA
"hsa-let-7e-5p",31662.2060553513,-0.419504560581087,0.270094360387625,-1.55317778564142,0.120380666872962,0.488895840485301
"hsa-let-7f-1-3p",1.2927990078625,-2.5436382867033,2.93507910512673,-0.866633639366075,0.38614277591244,NA
"hsa-let-7f-2-3p",0.895768339494068,1.17807560548937,2.30906201254933,0.510196607577773,0.609913728625759,NA
"hsa-let-7f-5p",50233.5200414245,-0.158741652534966,0.273347819357333,-0.580731366023637,0.561421518523416,0.876381027235558
"hsa-let-7g-5p",6833.04333674515,-0.529980406566494,0.251099762656564,-2.11063682800594,0.0348035396400396,0.238939685605656
"hsa-let-7i-3p",2.18076162969369,3.35686730630936,2.04344282094729,1.64275078896174,0.100434505779695,NA
"hsa-let-7i-5p",42664.5281125357,0.237298572349441,0.238365251655151,0.99552502179616,0.319480980850896,0.782506098798176
"hsa-miR-1-3p",43.0522428897502,0.884813394134706,0.629212962498209,1.40622245069725,0.159658079545424,0.553378003861325
"hsa-miR-100-3p",1.10306913666606,0.132828684247144,2.97029709664205,0.0447189893554109,0.964331297521889,NA
"hsa-miR-100-5p",51.8777064237255,0.220937661591024,0.608918469368507,0.362836196806696,0.716727250693976,0.889715891412937
"hsa-miR-101-3p",993.655584806999,0.304138447480275,0.327063641214341,0.929906015694842,0.352419748033748,0.813771512885725
"hsa-miR-101-5p",1.69768035256471,3.78044593045941,2.41608424013236,1.56469955296439,0.117653373365442,NA
"hsa-miR-10394-3p",0.767089899356947,3.05868332340468,3.00361778726813,1.01833307032938,0.308519697419231,NA
"hsa-miR-10398-5p",0.442385872119915,2.28881623530492,3.02363500060951,0.756975043232247,0.449064814360931,NA
"hsa-miR-10399-3p",0.425298896730606,2.25546095101539,3.02454713229409,0.745718566238591,0.455837441268749,NA
"hsa-miR-10399-5p",3.37685772495289,-2.0858835345309,2.03979922087729,-1.022592573417,0.306500522442593,NA
"hsa-miR-103a-3p",1994.42763680885,0.841113965606015,0.301758492557167,2.78737462690191,0.00531370109281979,0.0998416468492981
